filename: p1304_1139.txt
x_pixel:     1304
y_pixel:     1139
diff2_ts/diff2_ts.tab
slope (units per day):   -1.5598e-06
intercept (dt=0.0):       2.3969e-03
std. deviation:           9.3839e-03
index      time ISO8601         JD 1-Jan-1970      JD start       data       linear model
******************************************************************************************
   0  2018-11-11T10:13:43.636   17846.426199       0.000000   -4.41380e-15    2.39690e-03
   1  2018-12-17T10:13:42.402   17882.426185      35.999986    1.24135e-02    2.34074e-03
   2  2019-01-22T10:13:41.254   17918.426172      71.999972    6.14486e-04    2.28459e-03
   3  2019-03-23T10:13:40.687   17978.426165     131.999966   -8.23194e-03    2.19100e-03
   4  2019-04-28T10:13:41.987   18014.426180     167.999981   -6.12168e-03    2.13485e-03
   5  2019-05-22T10:13:42.972   18038.426192     191.999992   -1.87710e-03    2.09741e-03
   6  2019-10-25T10:13:50.053   18194.426274     348.000074    1.88068e-02    1.85408e-03
   7  2019-11-06T10:13:50.153   18206.426275     360.000075    1.77801e-02    1.83536e-03
   8  2020-01-17T10:13:47.623   18278.426246     432.000046    7.54119e-05    1.72305e-03
   9  2020-04-10T10:13:47.319   18362.426242     516.000043   -1.25820e-02    1.59203e-03
  10  2020-10-19T10:13:56.592   18554.426349     708.000150    3.17035e-03    1.29254e-03
  11  2020-10-31T10:13:56.622   18566.426350     720.000150   -1.03158e-03    1.27383e-03
