filename: p1425_965.txt
x_pixel:     1425
y_pixel:      965
diff2_ts/diff2_ts.tab
slope (units per day):   -5.4663e-05
intercept (dt=0.0):      -2.8476e-03
std. deviation:           6.0596e-03
index      time ISO8601         JD 1-Jan-1970      JD start       data       linear model
******************************************************************************************
   0  2018-11-11T10:13:43.636   17846.426199       0.000000   -4.41380e-15   -2.84762e-03
   1  2018-12-17T10:13:42.402   17882.426185      35.999986    2.81625e-03   -4.81549e-03
   2  2019-01-22T10:13:41.254   17918.426172      71.999972   -1.11276e-02   -6.78335e-03
   3  2019-03-23T10:13:40.687   17978.426165     131.999966   -1.81839e-02   -1.00631e-02
   4  2019-04-28T10:13:41.987   18014.426180     167.999981   -1.57125e-02   -1.20310e-02
   5  2019-05-22T10:13:42.972   18038.426192     191.999992   -1.30746e-02   -1.33429e-02
   6  2019-10-25T10:13:50.053   18194.426274     348.000074   -1.29607e-02   -2.18703e-02
   7  2019-11-06T10:13:50.153   18206.426275     360.000075   -1.53674e-02   -2.25263e-02
   8  2020-01-17T10:13:47.623   18278.426246     432.000046   -3.43934e-02   -2.64620e-02
   9  2020-04-10T10:13:47.319   18362.426242     516.000043   -3.82231e-02   -3.10537e-02
  10  2020-10-19T10:13:56.592   18554.426349     708.000150   -3.60879e-02   -4.15490e-02
  11  2020-10-31T10:13:56.622   18566.426350     720.000150   -4.32346e-02   -4.22049e-02
